benchmark_task,benchmark_label,structure_prompt_success_rate,property_success_strict_in_valid_mols,property_success_sketchmol_tolerance_in_valid_mols,joint_success_strict,joint_success_sketchmol_tolerance,fragment_growth_success_rate,optimization_delta_success_rate,prompt_candidate_similarity,exact_train_hit_rate,direct_train_decoder_fraction,source_aware_edit_decoder_fraction,mmp_target_decoder_fraction,mmp_fragment_decoder_fraction,mmp_two_step_fragment_decoder_fraction,n,validity,uniqueness,novelty,druglike_rate,mean_pairwise_tanimoto,sampled_nearest_train_tanimoto,sampled_nearest_train_tanimoto_ge_0_90,sampled_novelty_at_tanimoto_0_90
scaffold_prompt,scaffold_prompt,1.0,0.36470959595959596,0.7650252525252526,0.36470959595959596,0.7650252525252526,1.0,1.0,0.5325482427843361,0.0010732323232323232,0.0,1.0,0.0,0.9434343434343434,0.0,15840.0,1.0,0.6713383838383838,0.9990596200865149,0.9525883838383838,0.12704957868089836,0.3037092362364755,0.0,1.0
fragment_prompt,fragment_prompt,1.0,0.07510845986984815,0.34008947939262474,0.07510845986984815,0.34008947939262474,1.0,1.0,0.13251337517175327,0.002982646420824295,0.0,1.0,0.0,1.0,0.0,14752.0,1.0,0.25427060737527113,0.9981338309784058,1.0,0.09825381686286433,0.25674834078845793,0.0,1.0
local_optimization_prompt,local_optimization_prompt,1.0,0.31492150968603877,0.5568846025384101,0.29423430193720773,0.48935370741482964,1.0,0.5039662658650634,0.529804533621413,0.001586506346025384,0.0,1.0,0.0,0.9763902805611222,0.0,47904.0,1.0,0.5474490647962592,0.9994661582459485,0.9543670674682698,0.12411184843976525,0.2967960391432497,0.0,1.0
