label,source_similarity_loss_weight,hard_negative_loss_weight,source_aware_shared_gradient,rows,target_fingerprint_cosine,source_fingerprint_cosine,source_target_fingerprint_cosine,prior_target_fingerprint_cosine,target_fp_gain_vs_source_target,target_fp_gain_vs_prior,target_property_mae,prior_target_property_mae,property_mae_minus_prior,delta_mae,prior_delta_mae,delta_mae_minus_prior,latent_mae,generated_minus_prior_latent_mae,train_source_similarity_mse,train_source_aware_hard_negative,eval_metrics
balanced_005_001,0.05,0.01,False,1000,0.3991557675956139,0.3833639460950565,0.7987357662496573,0.45829754148444,-0.39957999865404337,-0.05914177388882613,8.394239890813827,8.437199594318868,-0.042959703505040636,2.2909055217951537,2.0118536347448828,0.27905188705027095,0.2664398922175169,0.12339983823895455,0.13707650433461938,0.2592865736403847,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/balanced_005_001/eval_latent/metrics.json
balanced_005_002,0.05,0.02,False,1000,0.40222834454813144,0.3883198431540994,0.7987357662496573,0.4591128964814096,-0.3965074217015258,-0.05688455193327818,9.356960086762905,8.786762146174908,0.5701979405879971,2.9212413906753065,3.0072387781739236,-0.08599738749861707,0.29328216588497164,0.1682304280810058,0.1374429116666035,0.19725158091725659,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/balanced_005_002/eval_latent/metrics.json
balanced_010_002,0.1,0.02,False,1000,0.3858500777478146,0.3740321871967404,0.7987357662496573,0.46457018966442465,-0.41288568850184265,-0.07872011191661005,8.324833722352981,9.16346928986907,-0.8386355675160893,3.6297590698599818,2.096824998036027,1.5329340718239548,0.29188391952216625,0.18182300525903702,0.13764782025469965,0.23599225459965836,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/balanced_010_002/eval_latent/metrics.json
balanced_015_003,0.15,0.03,False,1000,0.3832032661477773,0.3697514860396732,0.7987357662496573,0.454009699700679,-0.41553250010188,-0.07080643355290173,8.721632733941078,7.692359701097011,1.029273032844067,3.6498356369137763,2.5508795048594477,1.0989561320543286,0.2916057661473751,0.15793505445867778,0.13393189903195912,0.20793202850194362,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/balanced_015_003/eval_latent/metrics.json
balanced_015_005,0.15,0.05,False,1000,0.381451966185747,0.3659757401833272,0.7987357662496573,0.46461983045082966,-0.41728380006391025,-0.08316786426508266,8.863814346671104,8.381251557290554,0.48256278938055,2.245622943550348,2.18181457054615,0.06380837300419806,0.2788021610826254,0.125347097620368,0.1445776738214662,0.18034281253802936,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/balanced_015_005/eval_latent/metrics.json
balanced_020_005,0.2,0.05,False,1000,0.37360749710614477,0.36203998256931785,0.7987357662496573,0.4614016252445064,-0.4251282691435125,-0.08779412813836163,8.770010524660348,7.884527778565884,0.8854827460944641,2.9953138272166253,2.1396510449051855,0.8556627823114398,0.2885728011280298,0.14610634605959058,0.13881216766400856,0.18187671608711287,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/balanced_020_005/eval_latent/metrics.json
balanced_030_005,0.3,0.05,False,1000,0.3706513155944467,0.3618114237868647,0.7987357662496573,0.4594373652836631,-0.42808445065521056,-0.08878604968921638,8.288924336016178,9.476880117177963,-1.1879557811617847,3.073633722960949,2.1020282977074385,0.9716054252535105,0.28556327237188817,0.16901376952975988,0.1313388299855054,0.20432946829223783,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/balanced_030_005/eval_latent/metrics.json
balanced_030_010,0.3,0.1,False,1000,0.37189607779587086,0.35909675968201904,0.7987357662496573,0.4627816672712194,-0.4268396884537864,-0.09088558947534853,8.407594860255719,8.049860830426216,0.3577340298295031,2.728958811968565,2.312966073445976,0.415992738522589,0.28076450812071563,0.15348748920857908,0.14265579185580793,0.14838460689497304,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/balanced_030_010/eval_latent/metrics.json
baseline,0.0,0.0,False,1000,0.39477152349160083,0.3790029773312861,0.7987357662496573,0.4528420207459677,-0.4039642427580564,-0.05807049725436686,9.24934901636839,8.732120049118995,0.5172289672493946,2.356903390660882,2.1288210579901934,0.22808233267068845,0.2838932259529829,0.11184355710446835,,,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/baseline/eval_latent/metrics.json
hard001_head,0.0,0.01,False,1000,0.39894197416571864,0.3827404775767287,0.7987357662496573,0.4603397103096589,-0.3997937920839386,-0.061397736143940285,8.441948766767979,8.276476979017257,0.1654717877507217,4.555703207448125,2.3131589162647725,2.242544291183352,0.29834702925384043,0.1528239682652056,0.14465979396215747,0.24595097277457542,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard001_head/eval_latent/metrics.json
hard002_head,0.0,0.02,False,1000,0.4083410136471638,0.3925476694625872,0.7987357662496573,0.4624892450402402,-0.39039475260249346,-0.054148231393076396,8.623960830420256,8.091514340043068,0.5324464903771879,2.1375977940261364,2.3660878245532513,-0.22849003052711492,0.27084400672465564,0.11924128103628755,0.15127681002420393,0.20168796007910297,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard002_head/eval_latent/metrics.json
hard005_head,0.0,0.05,False,1000,0.4086159231253589,0.3939748563863624,0.7987357662496573,0.4737077956478459,-0.39011984312429837,-0.065091872522487,9.338724649071693,9.720802213788032,-0.38207756471633836,2.6130903016030786,2.3746494379788636,0.23844086362421502,0.29438297137618064,0.1400942247658968,0.16469322421150254,0.13838135375367108,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard005_head/eval_latent/metrics.json
hard010_head,0.0,0.1,False,1000,0.3876588723816053,0.37378210695386577,0.7987357662496573,0.4730078864504063,-0.41107689386805196,-0.08534901406880102,9.190627860039472,8.411926819443703,0.7787010405957684,2.274627663806081,2.1413425461053848,0.13328511770069618,0.2898312550857663,0.1489711381047964,0.17667546159108918,0.09605657518198148,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard010_head/eval_latent/metrics.json
hard015_head,0.0,0.15,False,1000,0.35928856290630357,0.34436724258540996,0.7987357662496573,0.46083311142829636,-0.4394472033433537,-0.1015445485219928,10.055300523206592,8.069620916366578,1.985679606840014,2.677698385223746,2.153120382487774,0.5245780027359723,0.3127742324322462,0.2208301717787981,0.18962846246286522,0.09057510112748197,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard015_head/eval_latent/metrics.json
hard_cool,0.0,0.05,False,1000,0.38734330952472074,0.3746783137393207,0.7987357662496573,0.4664982762076572,-0.4113924567249365,-0.07915496668293648,9.18648552286625,7.769764970242977,1.4167205526232722,4.161812948927284,2.3578239724636076,1.803988976463676,0.3133250353038311,0.19447071889787912,0.17169956172513848,0.15914535536574112,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard_cool/eval_latent/metrics.json
margin_high_015_005,0.15,0.05,False,1000,0.3830651925678538,0.3700423653966234,0.7987357662496573,0.46614251638429854,-0.41567057368180343,-0.08307732381644473,8.253705507606268,7.864273254573345,0.38943225303292284,2.472880010172725,2.430872284397483,0.04200772577524203,0.2728610113784671,0.13312703581899404,0.14192977173941368,0.20337132220145465,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/margin_high_015_005/eval_latent/metrics.json
margin_low_015_005,0.15,0.05,False,1000,0.3854763880391766,0.37155255881614585,0.7987357662496573,0.46381940568006563,-0.41325937821048064,-0.07834301764088902,8.232198824346066,8.656479198276996,-0.4242803739309302,2.717226444363594,2.4581483146101237,0.25907812975347033,0.2772230857238174,0.14170748398080468,0.1436296331311344,0.15786203971219373,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/margin_low_015_005/eval_latent/metrics.json
