label,output_dir,source_fingerprint_prior_blend,fingerprint_guard_loss_weight,prior_loss_weight,extra_epochs,seed
blend070_guard025_p005,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceanchor_sweep_v1/blend070_guard025_p005,0.70,0.25,0.05,30,11
blend085_guard050_p005,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceanchor_sweep_v1/blend085_guard050_p005,0.85,0.50,0.05,30,11
blend095_guard050_p005,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceanchor_sweep_v1/blend095_guard050_p005,0.95,0.50,0.05,30,11
blend085_guard100_p005,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceanchor_sweep_v1/blend085_guard100_p005,0.85,1.00,0.05,30,11
blend085_guard050_p025,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceanchor_sweep_v1/blend085_guard050_p025,0.85,0.50,0.25,30,11
blend095_guard100_p025,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceanchor_sweep_v1/blend095_guard100_p025,0.95,1.00,0.25,30,11
