benchmark_task,benchmark_label,structure_prompt_success_rate,property_success_strict_in_valid_mols,property_success_sketchmol_tolerance_in_valid_mols,joint_success_strict,joint_success_sketchmol_tolerance,fragment_growth_success_rate,optimization_delta_success_rate,prompt_candidate_similarity,exact_train_hit_rate,direct_train_decoder_fraction,source_aware_edit_decoder_fraction,mmp_target_decoder_fraction,mmp_fragment_decoder_fraction,mmp_two_step_fragment_decoder_fraction,n,validity,uniqueness,novelty,druglike_rate,mean_pairwise_tanimoto,sampled_nearest_train_tanimoto,sampled_nearest_train_tanimoto_ge_0_90,sampled_novelty_at_tanimoto_0_90
scaffold_prompt,scaffold_prompt,0.9399621212121212,0.288510101010101,0.546780303030303,0.28478535353535356,0.5315025252525253,1.0,1.0,0.5931115628613344,0.038825757575757576,0.021843434343434342,0.9204545454545454,0.021085858585858586,0.0,0.0,15840.0,1.0,0.1268939393939394,0.954228855721393,0.9523989898989899,0.12746702483645125,0.3567386461014343,0.05859375,0.94140625
fragment_prompt,fragment_prompt,1.0,0.013964208242950108,0.06324566160520607,0.013964208242950108,0.06324566160520607,1.0,1.0,0.19911499307632125,0.1790943600867679,6.778741865509762e-05,0.9999322125813449,6.778741865509762e-05,0.0,0.0,14752.0,1.0,0.023318872017353578,0.9767441860465116,1.0,0.103718894449267,0.24759899880344632,0.0234375,0.9765625
local_optimization_prompt,local_optimization_prompt,0.926310955243821,0.2607924181696727,0.4694806279225117,0.21417835671342686,0.35763193052772213,1.0,0.4294630928523714,0.6006872549533985,0.04916082164328657,0.01945557782231129,0.9074607548430194,0.018704074816299265,0.0,0.0,47904.0,1.0,0.06905477621910487,0.9585852478839177,0.9458291583166333,0.13010811548789342,0.3386344557827081,0.03515625,0.96484375
