run_name,planner_mode,split_column,backend,overall_success_at_1_by_instruction,overall_success_at_5_by_instruction,overall_success_at_10_by_instruction,overall_instruction_success_rate,goal_success_rate,constraint_success_rate,edit_success_rate,sketchmol_local_edit_success_rate,validity,druglike_rate,novelty,exact_train_hit_rate,sampled_novelty_at_tanimoto_0_90,fragment_growth_candidate_fraction,two_step_fragment_candidate_fraction,mmp_pair_target_candidate_fraction,train_size,eval_size,n,run_dir
20260514_062738_instruction_freeform_fragment_v1,,,torch_latent_vae,0.1972,0.2374,0.2704,0.212825,0.9009125,0.3449875,0.9318375,0.1725125,1.0,0.63875,0.4621942179392142,0.687,0.48828125,0.209475,0.0,0.0,26100.0,5000.0,80000.0,runs/20260514_062738_instruction_freeform_fragment_v1
20260516_231040_instruction_ablation_no_instruction,diffusion,split,torch_latent_vae,0.3875,0.4135,0.4235,0.34028125,0.4688125,0.957375,0.66671875,0.02528125,1.0,0.4840625,0.9990205680705191,0.001875,0.9921875,0.97590625,0.0,0.0,65800.0,2000.0,32000.0,runs/20260516_231040_instruction_ablation_no_instruction
20260516_231040_instruction_ablation_oracle_plan,oracle,split,planner_oracle,0.431,0.435,0.4365,0.42275,0.55846875,0.95,0.690625,0.0303125,1.0,0.4675,0.9975490196078431,0.00375,0.98828125,0.9825,0.0,0.0,65800.0,2000.0,32000.0,runs/20260516_231040_instruction_ablation_oracle_plan
20260516_231040_instruction_ablation_retrieval_only,diffusion,split,torch_latent_vae,0.6775,0.68,0.68,0.59234375,0.851875,0.7628125,0.93765625,0.37490625,1.0,0.5784375,0.3080459770114943,0.74421875,0.32421875,0.0,0.0,0.0,65800.0,2000.0,32000.0,runs/20260516_231040_instruction_ablation_retrieval_only
20260516_231046_instruction_ablation_fragment_no_planner,rule,split,planner_rule,0.3845,0.3905,0.3915,0.3624375,0.4888125,0.96125,0.66590625,0.01871875,1.0,0.46875,1.0,0.0,0.984375,0.995,0.0,0.0,65800.0,2000.0,32000.0,runs/20260516_231046_instruction_ablation_fragment_no_planner
20260516_231119_instruction_ablation_full,diffusion,split,torch_latent_vae,0.3875,0.4075,0.4225,0.33834375,0.46734375,0.9594375,0.6620625,0.02621875,1.0,0.4828125,0.9990089197224975,0.00328125,0.984375,0.9773125,0.0,0.0,65800.0,2000.0,32000.0,runs/20260516_231119_instruction_ablation_full
20260516_231119_instruction_ablation_random_plan,random,split,planner_random,0.2605,0.3455,0.3735,0.24496875,0.4320625,0.7884375,0.639,0.01209375,1.0,0.47534375,0.9997154510101489,0.001,1.0,0.90209375,0.04771875,0.0,65800.0,2000.0,32000.0,runs/20260516_231119_instruction_ablation_random_plan
20260516_231119_instruction_ablation_rule_plan,rule,split,planner_rule,0.3845,0.3905,0.3915,0.3624375,0.4888125,0.96125,0.66590625,0.01871875,1.0,0.46875,1.0,0.0,0.984375,0.995,0.0,0.0,65800.0,2000.0,32000.0,runs/20260516_231119_instruction_ablation_rule_plan
