benchmark_task,benchmark_label,structure_prompt_success_rate,property_success_strict_in_valid_mols,property_success_sketchmol_tolerance_in_valid_mols,joint_success_strict,joint_success_sketchmol_tolerance,fragment_growth_success_rate,optimization_delta_success_rate,prompt_candidate_similarity,exact_train_hit_rate,direct_train_decoder_fraction,source_aware_edit_decoder_fraction,mmp_target_decoder_fraction,mmp_fragment_decoder_fraction,mmp_two_step_fragment_decoder_fraction,n,validity,uniqueness,novelty,druglike_rate,mean_pairwise_tanimoto,sampled_nearest_train_tanimoto,sampled_nearest_train_tanimoto_ge_0_90,sampled_novelty_at_tanimoto_0_90
scaffold_prompt,scaffold_prompt,1.0,0.46805555555555556,0.8286616161616162,0.46805555555555556,0.8286616161616162,1.0,1.0,0.5097089184970689,0.00044191919191919195,0.0,1.0,0.0,0.9474747474747475,0.3181818181818182,15840.0,1.0,0.7488005050505051,0.9994098305370542,0.9527777777777777,0.12722515757446973,0.2882107665819442,0.0,1.0
fragment_prompt,fragment_prompt,1.0,0.4433297180043384,0.8231426247288504,0.4433297180043384,0.8231426247288504,1.0,1.0,0.09718226747901268,0.00047451193058568327,0.0,1.0,0.0,1.0,0.893777114967462,14752.0,1.0,0.7049891540130152,0.9998076923076923,1.0,0.12307580435133927,0.26133422705540577,0.0,1.0
local_optimization_prompt,local_optimization_prompt,1.0,0.3258809285237141,0.5659235136940548,0.312813126252505,0.5002713760855043,1.0,0.509122411489646,0.5017250568296154,0.001440380761523046,0.0,1.0,0.0,0.9774757849031396,0.38748329993319974,47904.0,1.0,0.6424098196392786,0.9996425554039124,0.9543670674682698,0.12668281438046702,0.29002574086385924,0.0,1.0
